2 100
13.1313 172.4314 1551.8825 
47.4747 2253.8516 20284.6648 
-69.6970 4857.6676 43719.0083 
65.6566 4310.7846 38797.0615 
29.2929 858.0757 7722.6814 
-47.4747 2253.8516 20284.6648 
37.3737 1396.7962 12571.1662 
91.9192 8449.1378 76042.2406 
-15.1515 229.5684 2066.1157 
89.8990 8081.8284 72736.4555 
-85.8586 7371.6968 66345.2709 
-21.2121 449.9541 4049.5868 
100.0000 10000.0000 90000.0000 
75.7576 5739.2103 51652.8926 
-9.0909 82.6446 743.8017 
-73.7374 5437.2003 48934.8026 
45.4545 2066.1157 18595.0413 
9.0909 82.6446 743.8017 
-11.1111 123.4568 1111.1111 
57.5758 3314.9679 29834.7107 
-31.3131 980.5122 8824.6097 
-59.5960 3551.6784 31965.1056 
27.2727 743.8017 6694.2149 
-17.1717 294.8679 2653.8108 
-89.8990 8081.8284 72736.4555 
87.8788 7722.6814 69504.1322 
-77.7778 6049.3827 54444.4444 
-13.1313 172.4314 1551.8825 
-95.9596 9208.2441 82874.1965 
51.5152 2653.8108 23884.2975 
-33.3333 1111.1111 10000.0000 
5.0505 25.5076 229.5684 
73.7374 5437.2003 48934.8026 
-55.5556 3086.4198 27777.7778 
21.2121 449.9541 4049.5868 
-49.4949 2449.7500 22047.7502 
77.7778 6049.3827 54444.4444 
93.9394 8824.6097 79421.4876 
-1.0101 1.0203 9.1827 
97.9798 9600.0408 86400.3673 
19.1919 368.3298 3314.9679 
-3.0303 9.1827 82.6446 
7.0707 49.9949 449.9541 
-7.0707 49.9949 449.9541 
35.3535 1249.8725 11248.8522 
-19.1919 368.3298 3314.9679 
-51.5152 2653.8108 23884.2975 
-93.9394 8824.6097 79421.4876 
-37.3737 1396.7962 12571.1662 
55.5556 3086.4198 27777.7778 
3.0303 9.1827 82.6446 
-25.2525 637.6900 5739.2103 
41.4141 1715.1311 15436.1800 
-67.6768 4580.1449 41221.3039 
83.8384 7028.8746 63259.8714 
17.1717 294.8679 2653.8108 
-97.9798 9600.0408 86400.3673 
23.2323 539.7408 4857.6676 
33.3333 1111.1111 10000.0000 
-61.6162 3796.5514 34168.9624 
63.6364 4049.5868 36446.2810 
71.7172 5143.3527 46290.1745 
53.5354 2866.0341 25794.3067 
-23.2323 539.7408 4857.6676 
-79.7980 6367.7176 57309.4582 
79.7980 6367.7176 57309.4582 
69.6970 4857.6676 43719.0083 
-43.4343 1886.5422 16978.8797 
95.9596 9208.2441 82874.1965 
-27.2727 743.8017 6694.2149 
-41.4141 1715.1311 15436.1800 
-71.7172 5143.3527 46290.1745 
31.3131 980.5122 8824.6097 
85.8586 7371.6968 66345.2709 
-87.8788 7722.6814 69504.1322 
-83.8384 7028.8746 63259.8714 
-100.0000 10000.0000 90000.0000 
39.3939 1551.8825 13966.9421 
-63.6364 4049.5868 36446.2810 
81.8182 6694.2149 60247.9339 
59.5960 3551.6784 31965.1056 
49.4949 2449.7500 22047.7502 
-29.2929 858.0757 7722.6814 
61.6162 3796.5514 34168.9624 
-65.6566 4310.7846 38797.0615 
-91.9192 8449.1378 76042.2406 
-35.3535 1249.8725 11248.8522 
-53.5354 2866.0341 25794.3067 
67.6768 4580.1449 41221.3039 
-45.4545 2066.1157 18595.0413 
43.4343 1886.5422 16978.8797 
-75.7576 5739.2103 51652.8926 
11.1111 123.4568 1111.1111 
-81.8182 6694.2149 60247.9339 
-39.3939 1551.8825 13966.9421 
15.1515 229.5684 2066.1157 
1.0101 1.0203 9.1827 
-57.5758 3314.9679 29834.7107 
-5.0505 25.5076 229.5684 
25.2525 637.6900 5739.2103 
