2 100
43.4343 1886.5422 18865.4219 
89.8990 8081.8284 80818.2838 
15.1515 229.5684 2295.6841 
-89.8990 8081.8284 80818.2838 
39.3939 1551.8825 15518.8246 
100.0000 10000.0000 100000.0000 
57.5758 3314.9679 33149.6786 
29.2929 858.0757 8580.7571 
35.3535 1249.8725 12498.7246 
37.3737 1396.7962 13967.9625 
-49.4949 2449.7500 24497.5003 
85.8586 7371.6968 73716.9677 
-83.8384 7028.8746 70288.7460 
-91.9192 8449.1378 84491.3784 
-25.2525 637.6900 6376.9003 
75.7576 5739.2103 57392.1028 
-61.6162 3796.5514 37965.5137 
3.0303 9.1827 91.8274 
-85.8586 7371.6968 73716.9677 
33.3333 1111.1111 11111.1111 
-9.0909 82.6446 826.4463 
45.4545 2066.1157 20661.1570 
71.7172 5143.3527 51433.5272 
19.1919 368.3298 3683.2976 
-39.3939 1551.8825 15518.8246 
61.6162 3796.5514 37965.5137 
-81.8182 6694.2149 66942.1488 
-57.5758 3314.9679 33149.6786 
-95.9596 9208.2441 92082.4406 
21.2121 449.9541 4499.5409 
1.0101 1.0203 10.2030 
5.0505 25.5076 255.0760 
-13.1313 172.4314 1724.3138 
67.6768 4580.1449 45801.4488 
-100.0000 10000.0000 100000.0000 
59.5960 3551.6784 35516.7840 
-33.3333 1111.1111 11111.1111 
-71.7172 5143.3527 51433.5272 
-51.5152 2653.8108 26538.1084 
-67.6768 4580.1449 45801.4488 
49.4949 2449.7500 24497.5003 
-47.4747 2253.8516 22538.5165 
-5.0505 25.5076 255.0760 
-63.6364 4049.5868 40495.8678 
63.6364 4049.5868 40495.8678 
93.9394 8824.6097 88246.0973 
-7.0707 49.9949 499.9490 
-35.3535 1249.8725 12498.7246 
53.5354 2866.0341 28660.3408 
-27.2727 743.8017 7438.0165 
-21.2121 449.9541 4499.5409 
91.9192 8449.1378 84491.3784 
41.4141 1715.1311 17151.3111 
27.2727 743.8017 7438.0165 
-19.1919 368.3298 3683.2976 
-31.3131 980.5122 9805.1219 
-93.9394 8824.6097 88246.0973 
-75.7576 5739.2103 57392.1028 
87.8788 7722.6814 77226.8136 
11.1111 123.4568 1234.5679 
25.2525 637.6900 6376.9003 
-15.1515 229.5684 2295.6841 
17.1717 294.8679 2948.6787 
-37.3737 1396.7962 13967.9625 
-29.2929 858.0757 8580.7571 
-11.1111 123.4568 1234.5679 
-43.4343 1886.5422 18865.4219 
83.8384 7028.8746 70288.7460 
-23.2323 539.7408 5397.4084 
-59.5960 3551.6784 35516.7840 
-55.5556 3086.4198 30864.1975 
-3.0303 9.1827 91.8274 
-65.6566 4310.7846 43107.8461 
7.0707 49.9949 499.9490 
-17.1717 294.8679 2948.6787 
-73.7374 5437.2003 54372.0029 
23.2323 539.7408 5397.4084 
9.0909 82.6446 826.4463 
77.7778 6049.3827 60493.8272 
55.5556 3086.4198 30864.1975 
47.4747 2253.8516 22538.5165 
81.8182 6694.2149 66942.1488 
-1.0101 1.0203 10.2030 
-97.9798 9600.0408 96000.4081 
-79.7980 6367.7176 63677.1758 
65.6566 4310.7846 43107.8461 
51.5152 2653.8108 26538.1084 
-45.4545 2066.1157 20661.1570 
-69.6970 4857.6676 48576.6758 
31.3131 980.5122 9805.1219 
79.7980 6367.7176 63677.1758 
-87.8788 7722.6814 77226.8136 
-77.7778 6049.3827 60493.8272 
95.9596 9208.2441 92082.4406 
-53.5354 2866.0341 28660.3408 
73.7374 5437.2003 54372.0029 
97.9798 9600.0408 96000.4081 
-41.4141 1715.1311 17151.3111 
13.1313 172.4314 1724.3138 
69.6970 4857.6676 48576.6758 
