2 100
6791.0274 8449.1378 76814.8946 
280.1323 4580.1449 37284.3792 
-5769.0019 2066.1157 6365.8326 
1225.1490 1886.5422 19027.2705 
3989.8410 6367.7176 50216.2117 
-7591.9413 3314.9679 17205.8266 
-1644.0683 1551.8825 12945.7667 
1720.2115 9600.0408 79524.4226 
5934.1870 10000.0000 82709.0599 
4560.3538 3314.9679 28087.0551 
-872.1390 3551.6784 28830.5686 
-17.1262 539.7408 3639.5389 
9382.9247 229.5684 12119.2632 
-1871.0423 9.1827 -11069.1435 
12963.9850 123.4568 3908.0447 
-10180.9619 1.0203 -5929.3414 
10579.6378 82.6446 -793.2090 
14098.1813 5143.3527 38375.9289 
5609.3553 6694.2149 46419.5253 
10311.4268 858.0757 13599.4676 
-525.9348 539.7408 5442.7541 
-1102.8947 743.8017 18070.3667 
-2208.1274 5437.2003 43208.3695 
-3456.6532 1886.5422 21418.7310 
-4989.9932 9.1827 9463.8500 
8117.7062 980.5122 8667.2522 
-8318.9897 6049.3827 48115.3369 
-1266.3495 49.9949 -2330.1548 
-10781.3645 2653.8108 17024.0268 
4588.6507 743.8017 13410.1093 
-4640.4707 5437.2003 41608.2124 
5527.6441 368.3298 6760.1142 
7369.4779 229.5684 14517.6603 
-5257.8076 4049.5868 25798.1412 
-4805.0206 8081.8284 66504.7945 
6790.0523 7028.8746 60084.5452 
-7060.2886 8449.1378 77773.1443 
10117.4254 2066.1157 17729.1263 
13565.4466 3086.4198 30825.0041 
-10173.6017 25.5076 8462.8600 
4542.9684 294.8679 6173.7793 
-9051.3862 7371.6968 51905.2015 
4188.3502 1249.8725 12190.0850 
-13016.1886 449.9541 -64.4059 
-13143.4511 123.4568 5495.8059 
12658.0367 1396.7962 10327.8873 
2323.6419 8824.6097 75551.2481 
3221.3093 172.4314 -116.9710 
-2897.4543 9600.0408 87326.5352 
4364.7239 1.0203 -14627.9106 
7764.6769 637.6900 11331.0831 
-1382.1075 2449.7500 24232.0441 
2978.8184 5739.2103 58316.3861 
-3681.9137 9208.2441 81976.0196 
-8884.5758 858.0757 6691.5255 
-1069.9233 3796.5514 43106.2602 
712.0840 1111.1111 5329.9919 
2014.8303 294.8679 722.0132 
-1113.3264 1249.8725 16288.0133 
12988.1417 2866.0341 23860.5436 
-3939.4307 1715.1311 26634.2495 
-12206.2520 5739.2103 38801.3602 
982.6824 172.4314 -12688.3078 
-1982.0198 2866.0341 20280.7183 
-2768.6059 4580.1449 34920.2796 
-8153.7702 449.9541 -6005.7232 
1211.5213 368.3298 9667.8680 
12404.9828 4857.6676 47881.3203 
-1633.5948 2449.7500 14032.1365 
449.3307 10000.0000 81476.9967 
-8983.7738 2653.8108 16470.5099 
1012.2088 2253.8516 15671.3153 
870.7755 4310.7846 30481.4533 
850.5703 7722.6814 69143.7516 
-1551.8294 2253.8516 18401.0283 
465.8722 4857.6676 40557.8379 
-2538.0964 980.5122 12462.1667 
-10121.5243 7028.8746 53855.5444 
3012.8967 6367.7176 41950.5944 
-71.3340 82.6446 -1053.7390 
9471.3451 4049.5868 34822.2695 
12378.8579 9208.2441 74927.9696 
48.6997 7371.6968 47147.6082 
-5.9939 1551.8825 15569.0635 
-8098.6355 637.6900 420.4193 
-10862.7704 1396.7962 13152.6760 
-5875.0945 8081.8284 60002.3439 
6933.3677 3551.6784 42605.3700 
2824.8276 1715.1311 16519.8105 
-9045.9489 3086.4198 24395.9578 
3609.2729 6049.3827 45721.3059 
10746.4764 6694.2149 51946.0776 
-4388.9549 5143.3527 49916.3807 
-5402.6816 8824.6097 67787.3032 
-3555.9791 1111.1111 4218.3227 
-3313.8833 7722.6814 50910.9530 
-5482.0642 49.9949 -1232.0390 
4524.7212 4310.7846 28405.4901 
13062.9907 25.5076 -217.0099 
4668.0325 3796.5514 25844.6388 
