2 100
1611.5761 10000.0000 51869.7879 
95.3669 6049.3827 30707.1726 
-7868.5385 9.1827 1318.1774 
-3687.4778 1886.5422 14335.7304 
-1554.0447 8449.1378 40007.0311 
-1047.9303 6367.7176 31882.9558 
6294.8411 5739.2103 25133.2259 
4715.5700 49.9949 3388.1785 
-689.0082 8824.6097 41723.2310 
-1358.1178 4857.6676 26228.8061 
-3733.6262 1715.1311 11417.8261 
260.2445 25.5076 -1620.5434 
1922.4739 3314.9679 14597.8032 
4531.0246 4310.7846 23961.2387 
-9624.7077 9208.2441 47102.0006 
-6615.5086 4049.5868 19697.5828 
-859.1963 10000.0000 48110.6249 
3047.2674 25.5076 -6665.1898 
6083.1444 2253.8516 9076.7398 
-5002.0586 8081.8284 40026.0234 
246.8683 7371.6968 36943.8702 
433.8930 9208.2441 47732.1816 
-5056.6578 2066.1157 10696.8224 
7719.9396 294.8679 1755.5433 
203.6342 294.8679 -2161.1765 
-8259.2016 858.0757 6848.7883 
-3679.9477 4310.7846 23711.8802 
4358.0505 1396.7962 7571.6498 
-9750.0446 743.8017 3846.7992 
851.5150 5143.3527 32856.1340 
-4664.2904 637.6900 132.1575 
267.0487 4580.1449 22376.5232 
7414.7130 2653.8108 14393.6813 
-3235.7695 5437.2003 29204.4295 
7413.0743 1551.8825 2261.5778 
-4707.3488 368.3298 10521.0884 
-8556.3298 5437.2003 22800.7993 
-695.3035 5739.2103 24537.3222 
8392.9194 1886.5422 6071.1180 
4072.1470 2449.7500 9582.6062 
-6034.8239 2066.1157 10212.1480 
7838.6433 2449.7500 15966.2056 
-86.1708 3086.4198 15183.6305 
-166.2574 3796.5514 11956.1430 
-638.9313 7722.6814 31064.1832 
964.0016 7028.8746 33658.1727 
3889.1220 980.5122 11056.8384 
-2962.4417 6694.2149 34093.0382 
3651.7744 539.7408 8742.2343 
-2511.9668 8824.6097 42228.9905 
-3310.6650 3551.6784 20012.5404 
-3313.8879 3796.5514 19347.3028 
-7081.2423 9600.0408 50882.0010 
-3574.7960 980.5122 2701.4567 
-174.8909 2866.0341 7681.8012 
-2113.8624 6367.7176 26510.5684 
-1103.7161 5143.3527 24016.3771 
-1396.9330 1551.8825 6261.8077 
-512.2155 449.9541 3122.0240 
-324.6621 7371.6968 44243.6782 
6992.3868 3314.9679 15786.8730 
-271.3365 637.6900 7739.4369 
-2600.1208 4857.6676 26437.8296 
-644.4221 229.5684 3972.1192 
-835.5214 7722.6814 36116.3059 
-1658.7109 368.3298 -6433.5825 
-6353.2259 229.5684 2540.8399 
1150.4529 3086.4198 17208.1468 
-6672.6316 6049.3827 23743.9689 
-94.3203 7028.8746 34757.9232 
9297.6349 449.9541 3741.4916 
-1945.4622 1111.1111 12002.3669 
364.2434 2653.8108 14272.2575 
1874.0739 539.7408 2195.1839 
5704.2711 123.4568 -350.3479 
4103.1325 82.6446 -2658.0360 
-1300.9246 123.4568 91.3288 
5087.1767 4049.5868 16047.7371 
-76.6530 1249.8725 6008.0603 
2785.3456 1.0203 9060.5631 
-1348.3545 1249.8725 8200.8430 
-4233.0151 8449.1378 44564.6442 
-1179.1726 2253.8516 11805.3646 
-1222.5787 1396.7962 8207.7064 
2198.7625 49.9949 9422.7990 
1289.5500 3551.6784 25049.5788 
286.1748 172.4314 4520.9949 
-2692.0863 82.6446 2009.8197 
-5267.7591 9600.0408 48876.5216 
3070.2543 1715.1311 16508.1603 
1013.2525 2866.0341 13021.2649 
9053.2534 1.0203 72.7243 
-5949.8036 9.1827 -3292.2045 
-4658.3626 4580.1449 14742.1738 
-6655.9183 8081.8284 40167.6365 
1090.2175 743.8017 13479.9006 
-4873.7034 858.0757 3379.8220 
7040.5598 1111.1111 9465.7399 
741.1822 172.4314 137.5316 
-7345.2224 6694.2149 28786.1345 
