2 100
9278.7056 858.0757 16004.1228 
-3148.8854 9600.0408 71813.7241 
4979.3527 2866.0341 28385.4608 
-7733.0156 1.0203 3377.8233 
4528.3831 8081.8284 74390.2862 
12837.4365 1886.5422 16242.9290 
-11455.1616 1396.7962 3624.0694 
-5039.9969 10000.0000 101786.9923 
140.6678 5739.2103 52078.0364 
-4398.1037 4857.6676 39477.3031 
8110.3154 743.8017 13357.4096 
-9265.5610 4580.1449 48942.6801 
-7245.3961 2066.1157 14595.6282 
7209.5010 2253.8516 19737.8940 
-8608.4803 980.5122 17162.5926 
-127.1801 10000.0000 107386.9357 
5827.9511 3551.6784 44067.6822 
105.0378 123.4568 1099.2803 
2323.0719 743.8017 -7161.3123 
8294.0265 539.7408 4389.9995 
8644.6163 1551.8825 17083.7214 
13007.9230 5143.3527 51467.2186 
-4379.7185 9.1827 -11901.5861 
-7285.4788 7371.6968 57210.9577 
246.0814 1.0203 3.5494 
-12627.3697 6367.7176 67516.2149 
2889.6700 8824.6097 80487.3580 
-17207.1499 4049.5868 35299.4762 
774.4871 123.4568 -11049.2058 
496.4898 4310.7846 39325.3509 
35.8066 3796.5514 32503.7059 
-8972.2845 82.6446 -8101.4550 
3276.9276 449.9541 17086.9245 
-5075.7729 1551.8825 -2085.2711 
5361.8506 1396.7962 -935.7472 
-7594.7603 6694.2149 66106.8723 
-2726.2273 9600.0408 76874.9725 
6165.4340 172.4314 -2349.8073 
5781.4889 8449.1378 71712.4762 
1059.3749 368.3298 1139.1593 
13213.9114 2449.7500 18358.2015 
-11296.6033 9208.2441 77967.7267 
1124.0293 1111.1111 12099.9351 
2007.2707 6694.2149 62758.8539 
-9735.2452 5143.3527 53039.6703 
3431.5177 4049.5868 35114.6950 
5452.6113 368.3298 1905.8543 
-14292.3995 229.5684 -3951.2504 
5867.7034 4310.7846 25417.3446 
4362.1061 5437.2003 38602.2507 
93.3609 4857.6676 43554.8727 
135.6179 539.7408 3409.3876 
-605.1370 3796.5514 35019.1720 
1779.7560 9.1827 2153.5346 
-2254.4936 6367.7176 65970.3664 
-7140.1313 858.0757 20428.6982 
-11421.4923 1249.8725 21255.2632 
-744.7317 2253.8516 18290.1310 
-9245.8669 6049.3827 44634.0002 
5278.3001 7028.8746 51931.8928 
1292.9704 8081.8284 83595.8781 
-9109.6405 25.5076 1420.6366 
-2916.6103 449.9541 5613.1210 
14351.8706 25.5076 5864.7110 
-776.1984 1715.1311 14171.8208 
-6233.9130 2653.8108 24313.4385 
-140.1198 1715.1311 8231.2319 
-10268.5344 7722.6814 56382.5448 
13753.5632 1111.1111 8087.8109 
-11902.0004 4580.1449 41181.7722 
-5041.9902 637.6900 2475.0959 
-1511.8213 2066.1157 20408.6129 
-13792.2588 49.9949 -4779.4636 
6034.9189 5437.2003 39411.1507 
307.4575 980.5122 -7923.9818 
3936.6999 5739.2103 51392.1178 
9108.9547 3314.9679 27784.3058 
4554.5035 294.8679 14811.3501 
12291.2506 294.8679 2032.7725 
-2033.2418 2449.7500 27885.2266 
-14276.5151 637.6900 11861.6376 
6603.3704 8824.6097 74472.2859 
3557.7788 9208.2441 97896.1003 
6876.9761 3551.6784 37949.0252 
2006.6431 229.5684 1056.6695 
2575.6348 49.9949 -9961.2812 
-2898.8979 3086.4198 18954.7133 
364.8181 8449.1378 76999.7678 
2186.1066 3086.4198 39715.8822 
1565.3189 6049.3827 42153.0883 
1335.8731 1249.8725 8516.8538 
3104.2429 7722.6814 70607.1808 
-2026.0064 7028.8746 60585.8005 
-9872.0362 1886.5422 30543.2235 
-3359.1937 2653.8108 21030.2220 
6946.4943 3314.9679 32680.0840 
-3171.5316 172.4314 -2967.1328 
-1228.4641 2866.0341 36926.2263 
-3035.6698 82.6446 828.3256 
12081.3227 7371.6968 64867.4227 
